--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
Vantage Industrial Parks & Logistics REIT,LOC-002,Pune Industrial & Logistics Park,BLD-004,Warehouse 1 - Pune,1,ZN-007,Fire Pump House,RM-007,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-002,Pune Industrial & Logistics Park,BLD-004,Warehouse 1 - Pune,1,ZN-008,Racking & Storage Zone,RM-008,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-002,Pune Industrial & Logistics Park,BLD-005,Warehouse 2 - Pune,1,ZN-009,Racking & Storage Zone,RM-009,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-002,Pune Industrial & Logistics Park,BLD-005,Warehouse 2 - Pune,1,ZN-010,Loading Dock & Yard,RM-010,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-002,Pune Industrial & Logistics Park,BLD-006,Warehouse 3 - Pune,1,ZN-011,Loading Dock & Yard,RM-011,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-002,Pune Industrial & Logistics Park,BLD-006,Warehouse 3 - Pune,1,ZN-012,MEP / Utility Room,RM-012,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-003,Chennai Industrial & Logistics Park,BLD-007,Warehouse 1 - Chennai,1,ZN-013,MEP / Utility Room,RM-013,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-003,Chennai Industrial & Logistics Park,BLD-007,Warehouse 1 - Chennai,1,ZN-014,Battery Charging & MHE Yard,RM-014,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-003,Chennai Industrial & Logistics Park,BLD-008,Warehouse 2 - Chennai,1,ZN-015,Battery Charging & MHE Yard,RM-015,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-003,Chennai Industrial & Logistics Park,BLD-008,Warehouse 2 - Chennai,1,ZN-016,Fire Pump House,RM-016,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-003,Chennai Industrial & Logistics Park,BLD-009,Warehouse 3 - Chennai,1,ZN-017,Fire Pump House,RM-017,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-003,Chennai Industrial & Logistics Park,BLD-009,Warehouse 3 - Chennai,1,ZN-018,Racking & Storage Zone,RM-018,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-004,Gurugram Industrial & Logistics Park,BLD-010,Warehouse 1 - Gurugram,1,ZN-019,Racking & Storage Zone,RM-019,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-004,Gurugram Industrial & Logistics Park,BLD-010,Warehouse 1 - Gurugram,1,ZN-020,Loading Dock & Yard,RM-020,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-004,Gurugram Industrial & Logistics Park,BLD-011,Warehouse 2 - Gurugram,1,ZN-021,Loading Dock & Yard,RM-021,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-004,Gurugram Industrial & Logistics Park,BLD-011,Warehouse 2 - Gurugram,1,ZN-022,MEP / Utility Room,RM-022,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-004,Gurugram Industrial & Logistics Park,BLD-012,Warehouse 3 - Gurugram,1,ZN-023,MEP / Utility Room,RM-023,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-004,Gurugram Industrial & Logistics Park,BLD-012,Warehouse 3 - Gurugram,1,ZN-024,Battery Charging & MHE Yard,RM-024,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-005,Bhiwandi (Mumbai) Industrial & Logistics Park,BLD-013,Warehouse 1 - Bhiwandi (Mumbai),1,ZN-025,Battery Charging & MHE Yard,RM-025,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-005,Bhiwandi (Mumbai) Industrial & Logistics Park,BLD-013,Warehouse 1 - Bhiwandi (Mumbai),1,ZN-026,Fire Pump House,RM-026,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-005,Bhiwandi (Mumbai) Industrial & Logistics Park,BLD-014,Warehouse 2 - Bhiwandi (Mumbai),1,ZN-027,Fire Pump House,RM-027,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-005,Bhiwandi (Mumbai) Industrial & Logistics Park,BLD-014,Warehouse 2 - Bhiwandi (Mumbai),1,ZN-028,Racking & Storage Zone,RM-028,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-005,Bhiwandi (Mumbai) Industrial & Logistics Park,BLD-015,Warehouse 3 - Bhiwandi (Mumbai),1,ZN-029,Racking & Storage Zone,RM-029,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-005,Bhiwandi (Mumbai) Industrial & Logistics Park,BLD-015,Warehouse 3 - Bhiwandi (Mumbai),1,ZN-030,Loading Dock & Yard,RM-030,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-006,Hyderabad Industrial & Logistics Park,BLD-016,Warehouse 1 - Hyderabad,1,ZN-031,Loading Dock & Yard,RM-031,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-006,Hyderabad Industrial & Logistics Park,BLD-016,Warehouse 1 - Hyderabad,1,ZN-032,MEP / Utility Room,RM-032,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-006,Hyderabad Industrial & Logistics Park,BLD-017,Warehouse 2 - Hyderabad,1,ZN-033,MEP / Utility Room,RM-033,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-006,Hyderabad Industrial & Logistics Park,BLD-017,Warehouse 2 - Hyderabad,1,ZN-034,Battery Charging & MHE Yard,RM-034,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-006,Hyderabad Industrial & Logistics Park,BLD-018,Warehouse 3 - Hyderabad,1,ZN-035,Battery Charging & MHE Yard,RM-035,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-006,Hyderabad Industrial & Logistics Park,BLD-018,Warehouse 3 - Hyderabad,1,ZN-036,Fire Pump House,RM-036,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-007,Ahmedabad Industrial & Logistics Park,BLD-019,Warehouse 1 - Ahmedabad,1,ZN-037,Fire Pump House,RM-037,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-007,Ahmedabad Industrial & Logistics Park,BLD-019,Warehouse 1 - Ahmedabad,1,ZN-038,Racking & Storage Zone,RM-038,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-007,Ahmedabad Industrial & Logistics Park,BLD-020,Warehouse 2 - Ahmedabad,1,ZN-039,Racking & Storage Zone,RM-039,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-007,Ahmedabad Industrial & Logistics Park,BLD-020,Warehouse 2 - Ahmedabad,1,ZN-040,Loading Dock & Yard,RM-040,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-007,Ahmedabad Industrial & Logistics Park,BLD-021,Warehouse 3 - Ahmedabad,1,ZN-041,Loading Dock & Yard,RM-041,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-007,Ahmedabad Industrial & Logistics Park,BLD-021,Warehouse 3 - Ahmedabad,1,ZN-042,MEP / Utility Room,RM-042,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-008,Kolkata Industrial & Logistics Park,BLD-022,Warehouse 1 - Kolkata,1,ZN-043,MEP / Utility Room,RM-043,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-008,Kolkata Industrial & Logistics Park,BLD-022,Warehouse 1 - Kolkata,1,ZN-044,Battery Charging & MHE Yard,RM-044,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-008,Kolkata Industrial & Logistics Park,BLD-023,Warehouse 2 - Kolkata,1,ZN-045,Battery Charging & MHE Yard,RM-045,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-008,Kolkata Industrial & Logistics Park,BLD-023,Warehouse 2 - Kolkata,1,ZN-046,Fire Pump House,RM-046,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-008,Kolkata Industrial & Logistics Park,BLD-024,Warehouse 3 - Kolkata,1,ZN-047,Fire Pump House,RM-047,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-008,Kolkata Industrial & Logistics Park,BLD-024,Warehouse 3 - Kolkata,1,ZN-048,Racking & Storage Zone,RM-048,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-009,Jaipur Industrial & Logistics Park,BLD-025,Warehouse 1 - Jaipur,1,ZN-049,Racking & Storage Zone,RM-049,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-009,Jaipur Industrial & Logistics Park,BLD-025,Warehouse 1 - Jaipur,1,ZN-050,Loading Dock & Yard,RM-050,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-009,Jaipur Industrial & Logistics Park,BLD-026,Warehouse 2 - Jaipur,1,ZN-051,Loading Dock & Yard,RM-051,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-009,Jaipur Industrial & Logistics Park,BLD-026,Warehouse 2 - Jaipur,1,ZN-052,MEP / Utility Room,RM-052,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-009,Jaipur Industrial & Logistics Park,BLD-027,Warehouse 3 - Jaipur,1,ZN-053,MEP / Utility Room,RM-053,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-009,Jaipur Industrial & Logistics Park,BLD-027,Warehouse 3 - Jaipur,1,ZN-054,Battery Charging & MHE Yard,RM-054,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-010,Coimbatore Industrial & Logistics Park,BLD-028,Warehouse 1 - Coimbatore,1,ZN-055,Battery Charging & MHE Yard,RM-055,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-010,Coimbatore Industrial & Logistics Park,BLD-028,Warehouse 1 - Coimbatore,1,ZN-056,Fire Pump House,RM-056,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-010,Coimbatore Industrial & Logistics Park,BLD-029,Warehouse 2 - Coimbatore,1,ZN-057,Fire Pump House,RM-057,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-010,Coimbatore Industrial & Logistics Park,BLD-029,Warehouse 2 - Coimbatore,1,ZN-058,Racking & Storage Zone,RM-058,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-010,Coimbatore Industrial & Logistics Park,BLD-030,Warehouse 3 - Coimbatore,1,ZN-059,Racking & Storage Zone,RM-059,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-010,Coimbatore Industrial & Logistics Park,BLD-030,Warehouse 3 - Coimbatore,1,ZN-060,Loading Dock & Yard,RM-060,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-011,Dartford (London) Industrial & Logistics Park,BLD-031,Warehouse 1 - Dartford (London),1,ZN-061,Loading Dock & Yard,RM-061,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-011,Dartford (London) Industrial & Logistics Park,BLD-031,Warehouse 1 - Dartford (London),1,ZN-062,MEP / Utility Room,RM-062,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-011,Dartford (London) Industrial & Logistics Park,BLD-032,Warehouse 2 - Dartford (London),1,ZN-063,MEP / Utility Room,RM-063,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-011,Dartford (London) Industrial & Logistics Park,BLD-032,Warehouse 2 - Dartford (London),1,ZN-064,Battery Charging & MHE Yard,RM-064,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-012,Manchester Industrial & Logistics Park,BLD-033,Warehouse 1 - Manchester,1,ZN-065,Battery Charging & MHE Yard,RM-065,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-012,Manchester Industrial & Logistics Park,BLD-033,Warehouse 1 - Manchester,1,ZN-066,Fire Pump House,RM-066,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-012,Manchester Industrial & Logistics Park,BLD-034,Warehouse 2 - Manchester,1,ZN-067,Fire Pump House,RM-067,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-012,Manchester Industrial & Logistics Park,BLD-034,Warehouse 2 - Manchester,1,ZN-068,Racking & Storage Zone,RM-068,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-013,Birmingham Industrial & Logistics Park,BLD-035,Warehouse 1 - Birmingham,1,ZN-069,Racking & Storage Zone,RM-069,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-013,Birmingham Industrial & Logistics Park,BLD-035,Warehouse 1 - Birmingham,1,ZN-070,Loading Dock & Yard,RM-070,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-013,Birmingham Industrial & Logistics Park,BLD-036,Warehouse 2 - Birmingham,1,ZN-071,Loading Dock & Yard,RM-071,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-013,Birmingham Industrial & Logistics Park,BLD-036,Warehouse 2 - Birmingham,1,ZN-072,MEP / Utility Room,RM-072,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-014,Leeds Industrial & Logistics Park,BLD-037,Warehouse 1 - Leeds,1,ZN-073,MEP / Utility Room,RM-073,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-014,Leeds Industrial & Logistics Park,BLD-037,Warehouse 1 - Leeds,1,ZN-074,Battery Charging & MHE Yard,RM-074,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-014,Leeds Industrial & Logistics Park,BLD-038,Warehouse 2 - Leeds,1,ZN-075,Battery Charging & MHE Yard,RM-075,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-014,Leeds Industrial & Logistics Park,BLD-038,Warehouse 2 - Leeds,1,ZN-076,Fire Pump House,RM-076,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-015,Bristol Industrial & Logistics Park,BLD-039,Warehouse 1 - Bristol,1,ZN-077,Fire Pump House,RM-077,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-015,Bristol Industrial & Logistics Park,BLD-039,Warehouse 1 - Bristol,1,ZN-078,Racking & Storage Zone,RM-078,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-015,Bristol Industrial & Logistics Park,BLD-040,Warehouse 2 - Bristol,1,ZN-079,Racking & Storage Zone,RM-079,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-015,Bristol Industrial & Logistics Park,BLD-040,Warehouse 2 - Bristol,1,ZN-080,Loading Dock & Yard,RM-080,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-016,Glasgow Industrial & Logistics Park,BLD-041,Warehouse 1 - Glasgow,1,ZN-081,Loading Dock & Yard,RM-081,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-016,Glasgow Industrial & Logistics Park,BLD-041,Warehouse 1 - Glasgow,1,ZN-082,MEP / Utility Room,RM-082,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-016,Glasgow Industrial & Logistics Park,BLD-042,Warehouse 2 - Glasgow,1,ZN-083,MEP / Utility Room,RM-083,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-016,Glasgow Industrial & Logistics Park,BLD-042,Warehouse 2 - Glasgow,1,ZN-084,Battery Charging & MHE Yard,RM-084,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-017,Sheffield Industrial & Logistics Park,BLD-043,Warehouse 1 - Sheffield,1,ZN-085,Battery Charging & MHE Yard,RM-085,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-017,Sheffield Industrial & Logistics Park,BLD-043,Warehouse 1 - Sheffield,1,ZN-086,Fire Pump House,RM-086,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-017,Sheffield Industrial & Logistics Park,BLD-044,Warehouse 2 - Sheffield,1,ZN-087,Fire Pump House,RM-087,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-017,Sheffield Industrial & Logistics Park,BLD-044,Warehouse 2 - Sheffield,1,ZN-088,Racking & Storage Zone,RM-088,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-018,Nottingham Industrial & Logistics Park,BLD-045,Warehouse 1 - Nottingham,1,ZN-089,Racking & Storage Zone,RM-089,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-018,Nottingham Industrial & Logistics Park,BLD-045,Warehouse 1 - Nottingham,1,ZN-090,Loading Dock & Yard,RM-090,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-018,Nottingham Industrial & Logistics Park,BLD-046,Warehouse 2 - Nottingham,1,ZN-091,Loading Dock & Yard,RM-091,Dock Area
Vantage Industrial Parks & Logistics REIT,LOC-018,Nottingham Industrial & Logistics Park,BLD-046,Warehouse 2 - Nottingham,1,ZN-092,MEP / Utility Room,RM-092,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-019,Milton Keynes Industrial & Logistics Park,BLD-047,Warehouse 1 - Milton Keynes,1,ZN-093,MEP / Utility Room,RM-093,Electrical Panel Room
Vantage Industrial Parks & Logistics REIT,LOC-019,Milton Keynes Industrial & Logistics Park,BLD-047,Warehouse 1 - Milton Keynes,1,ZN-094,Battery Charging & MHE Yard,RM-094,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-019,Milton Keynes Industrial & Logistics Park,BLD-048,Warehouse 2 - Milton Keynes,1,ZN-095,Battery Charging & MHE Yard,RM-095,Charging Bay
Vantage Industrial Parks & Logistics REIT,LOC-019,Milton Keynes Industrial & Logistics Park,BLD-048,Warehouse 2 - Milton Keynes,1,ZN-096,Fire Pump House,RM-096,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-020,Warrington Industrial & Logistics Park,BLD-049,Warehouse 1 - Warrington,1,ZN-097,Fire Pump House,RM-097,Pump House
Vantage Industrial Parks & Logistics REIT,LOC-020,Warrington Industrial & Logistics Park,BLD-049,Warehouse 1 - Warrington,1,ZN-098,Racking & Storage Zone,RM-098,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-020,Warrington Industrial & Logistics Park,BLD-050,Warehouse 2 - Warrington,1,ZN-099,Racking & Storage Zone,RM-099,Storage Bay A
Vantage Industrial Parks & Logistics REIT,LOC-020,Warrington Industrial & Logistics Park,BLD-050,Warehouse 2 - Warrington,1,ZN-100,Loading Dock & Yard,RM-100,Dock Area


--- WORKSHEET: 12_Checklist_Template_Mapping ---

ChecklistID,Name,Type,ComplianceAreaID,Linked Task IDs
CHK-001,Fire Detection & Alarm Test Log,Monitoring Log,CA-001,TSK-0001; TSK-0003; TSK-0005
CHK-002,Fire Suppression Inspection Checklist,Inspection Form,CA-002,TSK-0007; TSK-0009; TSK-0011; TSK-0013
CHK-003,Emergency Preparedness Drill Report,Report Template,CA-003,TSK-0015; TSK-0017; TSK-0019
CHK-004,EHS/PPE/MHE Safety Checklist,Inspection Form,CA-004,TSK-0021; TSK-0023; TSK-0025
CHK-005,Hazmat & Chemical Safety Checklist,Inspection Form,CA-005,TSK-0027; TSK-0029; TSK-0031
CHK-006,Waste Management Checklist,Inspection Form,CA-006,TSK-0033; TSK-0035
CHK-007,FM Preventive Maintenance Checklist,Maintenance Form,CA-007,TSK-0037; TSK-0039; TSK-0041; TSK-0043
CHK-008,Environmental Monitoring Log,Lab Form,CA-008,TSK-0045; TSK-0047
CHK-009,Hazard & Risk Assessment Review Form,Report Template,CA-009,TSK-0049; TSK-0051; TSK-0053
CHK-010,Insurance & Risk Compliance Verification Form,Inspection Form,CA-010,TSK-0055; TSK-0057; TSK-0059
CHK-011,Fire Alarm Zone Verification Log,Monitoring Log,CA-001,TSK-0002; TSK-0004; TSK-0006
CHK-012,Fire Pump & Hydrant Test Log,Inspection Form,CA-002,TSK-0008; TSK-0010; TSK-0012; TSK-0014
CHK-013,ERT Readiness & Mutual Aid Log,Report Template,CA-003,TSK-0016; TSK-0018; TSK-0020
CHK-014,Permit-to-Work / Hot Work Register,Inspection Form,CA-004,TSK-0022; TSK-0024; TSK-0026
CHK-015,Spill Response Readiness Log,Inspection Form,CA-005,TSK-0028; TSK-0030; TSK-0032
CHK-016,Hazardous Waste Manifest Log,Inspection Form,CA-006,TSK-0034; TSK-0036
CHK-017,Utilities & Racking Inspection Log,Maintenance Form,CA-007,TSK-0038; TSK-0040; TSK-0042; TSK-0044
CHK-018,Emission & Stack Monitoring Log,Lab Form,CA-008,TSK-0046; TSK-0048
CHK-019,Audit & CAPA Tracker,Report Template,CA-009,TSK-0050; TSK-0052; TSK-0054
CHK-020,Fire NOC / Warranty Renewal Tracker,Report Template,CA-010,TSK-0056; TSK-0058; TSK-0060


--- WORKSHEET: 13_Schedule_Rules ---

TaskID,Frequency,Schedule Type,Calendar Rule,Anchor Week/Date,Trigger Condition,SLA,Escalation Rule
TSK-0001,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 01,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0002,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 04,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0003,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Week 07,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0004,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 10,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0005,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 13,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0006,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Week 16,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0007,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 19,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0008,Sensor Triggered,Triggered,Sensor Triggered per Calendar Generation Algorithm,N/A (condition/event driven),Triggered by IoT sensor reading (pressure/temperature/flow) outside setpoint range,5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0009,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 25,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0010,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Week 28,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0011,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 31,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0012,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 34,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0013,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Week 37,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0014,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 40,N/A (fixed calendar schedule),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window
TSK-0015,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Week 43,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0016,Annual,Fixed,Annual per Calendar Generation Algorithm,Week 46,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0017,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 49,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0018,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Week 52,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
